,name,h_gene,t_gene,h_uniprot,t_uniprot,h_chr,t_chr,h_pos,t_pos,h_strand,t_strand,id,h_contribution,t_contribution,domain_architecture,dansy_impact,Novel_Architecture
9209,CLDND1--OSBPL7,ENSG00000080822,ENSG00000006025,Q9NY35,Q9BZF2,3,17,98518885,47818269,,,DANSY_09209,,,,No Annotation,False
9210,EOLA2--THAP1,ENSG00000197021,ENSG00000131931,Q96DE9,Q9NVV9,X,8,149933622,42843024,,,DANSY_09210,,IPR006612,IPR006612,Pre-existing,False
9211,RNF227--GTF2H5,ENSG00000179859,ENSG00000272047,A6NIN4,Q6ZYL4,17,6,7913339,158168350,,,DANSY_09211,IPR001841|IPR027952,,IPR001841|IPR027952,Pre-existing,False
9212,OCM2--ZIC4,ENSG00000135175,ENSG00000174963,P0CE71,Q8N9L1,7,3,97988416,147402728,,,DANSY_09212,,IPR013087|IPR013087|IPR013087|IPR013087|IPR013087,IPR013087|IPR013087|IPR013087|IPR013087|IPR013087,Pre-existing,False
9213,LARP4B--SKI,ENSG00000107929,ENSG00000157933,Q92615,P12755,10,1,814946,2302978,,,DANSY_09213,IPR006630|IPR034900,,IPR006630|IPR034900,Pre-existing,False
9214,GBF1--IGFBP6,ENSG00000107862,ENSG00000167779,Q92538,P24592,10,12,102344051,53102045,,,DANSY_09214,,,,No Annotation,False
9215,RPS23--AP3D1,ENSG00000186468,ENSG00000065000,P62266,O14617,5,19,82273320,2109873,,,DANSY_09215,,,,No Annotation,False
9216,SH3BP4--PROP1,ENSG00000130147,ENSG00000175325,Q9P0V3,O75360,2,5,234952017,177995825,,,DANSY_09216,,IPR001356,IPR001356,Pre-existing,False
9217,GLRA2--LYZL2,ENSG00000101958,ENSG00000151033,P23416,Q7Z4W2,X,10,14730207,30611779,,,DANSY_09217,IPR006202|IPR006029,,IPR006202|IPR006029,Pre-existing,False
9218,OR8K5--OR5P2,ENSG00000181752,ENSG00000183303,Q8NH50,Q8WZ92,11,11,56159394,7795974,,,DANSY_09218,IPR017452,IPR017452,IPR017452|IPR017452,Novel,True
9219,TAS2R31--M6PR,ENSG00000256436,ENSG00000003056,P59538,P20645,12,12,11030387,8943801,,,DANSY_09219,,,,No Annotation,False
9220,ECH1--EDDM13,ENSG00000104823,ENSG00000267710,Q13011,A0A1B0GTR0,19,19,38816453,56288385,,,DANSY_09220,,,,No Annotation,False
9221,EIF3B--BCKDK,ENSG00000106263,ENSG00000103507,P55884,O14874,7,16,2366525,31108386,,,DANSY_09221,IPR000504,IPR018955|IPR003594,IPR000504|IPR018955|IPR003594,Novel,True
9222,TAAR9--NPL,ENSG00000237110,ENSG00000135838,Q96RI9,Q9BXD5,6,1,132538277,182812156,,,DANSY_09222,IPR017452,,IPR017452,Pre-existing,False
9223,MYBPC2--FOXC2,ENSG00000086967,ENSG00000176692,Q14324,Q99958,19,16,50445880,86566829,,,DANSY_09223,IPR003599|IPR040849|IPR003599|IPR003598,IPR001766,IPR003599|IPR040849|IPR003599|IPR003598|IPR001766,Novel,True
9224,EPHB4--RBM4B,ENSG00000196411,ENSG00000173914,P54760,Q9BQ04,7,11,100824203,66664998,,,DANSY_09224,,,,No Annotation,False
9225,ADPRHL1--OR8H1,ENSG00000153531,ENSG00000181693,Q8NDY3,Q8NGG4,13,11,113399611,56288462,,,DANSY_09225,,IPR017452,IPR017452,Pre-existing,False
9226,COL4A5--CHRM4,ENSG00000188153,ENSG00000180720,P29400,P08173,X,11,108614911,46383789,,,DANSY_09226,,IPR017452,IPR017452,Pre-existing,False
9227,SMARCC1--CT55,ENSG00000173473,ENSG00000169551,Q92922,Q8WUE5,3,X,47585269,135160411,,,DANSY_09227,IPR032450|IPR000953|IPR007526|IPR001005|IPR032448|IPR032451,,IPR032450|IPR000953|IPR007526|IPR001005|IPR032448|IPR032451,Pre-existing,False
9228,BEST1--FNBP4,ENSG00000167995,ENSG00000109920,O76090,Q8N3X1,11,11,61962255,47754528,,,DANSY_09228,,IPR001202|IPR001202,IPR001202|IPR001202,Pre-existing,False
9229,ITK--DIAPH1,ENSG00000113263,ENSG00000131504,Q08881,O60610,5,5,157252607,141618798,,,DANSY_09229,IPR001849|IPR001452|IPR000980|IPR000719,IPR010473|IPR010472|IPR010465,IPR001849|IPR001452|IPR000980|IPR000719|IPR010473|IPR010472|IPR010465,Novel,True
9230,P2RX7--PLEKHG5,ENSG00000089041,ENSG00000171680,Q99572,O94827,12,1,121167488,6474451,,,DANSY_09230,,IPR000219|IPR001849,IPR000219|IPR001849,Pre-existing,False
9231,TNP2--CNTN6,ENSG00000178279,ENSG00000134115,Q05952,Q9UQ52,16,3,11267857,1147927,,,DANSY_09231,,IPR003598|IPR003598|IPR003598|IPR003598|IPR003598|IPR003598|IPR003961|IPR003961|IPR003961|IPR003961,IPR003598|IPR003598|IPR003598|IPR003598|IPR003598|IPR003598|IPR003961|IPR003961|IPR003961|IPR003961,Pre-existing,False
9232,IL5RA--MANF,ENSG00000091181,ENSG00000145050,Q01344,P55145,3,3,3092224,51385291,,,DANSY_09232,IPR015321|IPR003961,IPR045332|IPR019345,IPR015321|IPR003961|IPR045332|IPR019345,Novel,True
9233,ICAM1--ASMT,ENSG00000090339,ENSG00000196433,P05362,P46597,19,X,10285115,1627703,,,DANSY_09233,IPR003599|IPR003987|IPR003987|IPR003987|IPR003988|IPR048679|IPR003599|IPR003599,,IPR003599|IPR003987|IPR003987|IPR003987|IPR003988|IPR048679|IPR003599|IPR003599,Pre-existing,False
9234,TRBV4-1--HAS3,ENSG00000211710,ENSG00000103044,A0A577,O00219,7,16,142313184,69114343,,,DANSY_09234,,,,No Annotation,False
9235,MC5R--LTB4R,ENSG00000176136,ENSG00000213903,P33032,Q15722,18,14,13824149,24315637,,,DANSY_09235,,IPR017452,IPR017452,Pre-existing,False
9236,TAS2R50--CPSF6,ENSG00000212126,ENSG00000111605,P59544,Q16630,12,12,10985913,69269512,,,DANSY_09236,,,,No Annotation,False
9237,PDE1B--DIAPH3,ENSG00000123360,ENSG00000139734,Q01064,Q9NSV4,12,13,54549601,59916155,,,DANSY_09237,,IPR014767,IPR014767,Pre-existing,False
9238,GTF3C6--SLC22A16,ENSG00000155115,ENSG00000004809,Q969F1,Q86VW1,6,6,110958706,110424687,,,DANSY_09238,,,,No Annotation,False
9239,CCDC80--GP5,ENSG00000091986,ENSG00000178732,Q76M96,P40197,3,3,112618968,194394821,,,DANSY_09239,IPR025232,IPR000483,IPR025232|IPR000483,Novel,True
9240,CSRP1--RPP21,ENSG00000159176,ENSG00000241370,P21291,Q9H633,1,6,201507070,30345491,,,DANSY_09240,,,,No Annotation,False
9241,SLC11A1--CDHR2,ENSG00000018280,ENSG00000074276,P49279,Q9BYE9,2,5,218389870,176578365,,,DANSY_09241,,IPR002126|IPR002126|IPR002126|IPR002126,IPR002126|IPR002126|IPR002126|IPR002126,Pre-existing,False
9242,OR4K17--BAIAP3,ENSG00000176230,ENSG00000007516,Q8NGC6,O94812,14,16,20117468,1345747,,,DANSY_09242,IPR017452,IPR010439|IPR014772|IPR000008,IPR017452|IPR010439|IPR014772|IPR000008,Novel,True
9243,DNAJC8--CHMP4A,ENSG00000126698,ENSG00000254505,O75937,Q9BY43,1,14,28214940,24211415,,,DANSY_09243,,,,No Annotation,False
9244,VPS36--PGLYRP2,ENSG00000136100,ENSG00000161031,Q86VN1,Q96PD5,13,19,52433662,15468645,,,DANSY_09244,IPR021648,,IPR021648,Pre-existing,False
9245,LHFPL2--USP40,ENSG00000145685,ENSG00000085982,Q6ZUX7,Q9NVE5,5,2,78509784,233510049,,,DANSY_09245,,IPR057763,IPR057763,Pre-existing,False
9246,PPP1R14A--GPR89A,ENSG00000167641,ENSG00000117262,Q96A00,B7ZAQ6,19,1,38256139,145623054,,,DANSY_09246,,IPR022535|IPR025969,IPR022535|IPR025969,Pre-existing,False
9247,FAM120A--OBSL1,ENSG00000048828,ENSG00000124006,Q9NZB2,O75147,9,2,93550577,219567273,,,DANSY_09247,,IPR003961|IPR003599|IPR003598|IPR003598|IPR003598|IPR003598|IPR003598|IPR003598|IPR003598|IPR003598|IPR003598|IPR003599|IPR003598|IPR003599|IPR003599,IPR003961|IPR003599|IPR003598|IPR003598|IPR003598|IPR003598|IPR003598|IPR003598|IPR003598|IPR003598|IPR003598|IPR003599|IPR003598|IPR003599|IPR003599,Pre-existing,False
9248,MARCHF8--TRDV2,ENSG00000165406,ENSG00000211821,Q5T0T0,A0JD36,10,14,45459120,22422744,,,DANSY_09248,IPR001841,IPR007110,IPR001841|IPR007110,Novel,True
9249,MTUS2--IDS,ENSG00000132938,ENSG00000010404,Q5JR59,P22304,13,X,29497238,149490314,,,DANSY_09249,,,,No Annotation,False
9250,EPHX1--IFT88,ENSG00000143819,ENSG00000032742,P07099,Q13099,1,13,225831779,20690705,,,DANSY_09250,,,,No Annotation,False
9251,ARHGAP44--ZNF501,ENSG00000006740,ENSG00000186446,Q17R89,Q96CX3,17,3,12990032,44734197,,,DANSY_09251,IPR004148|IPR000198,IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087,IPR004148|IPR000198|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087,Novel,True
9252,RNF227--CAMKV,ENSG00000179859,ENSG00000164076,A6NIN4,Q8NCB2,17,3,7913339,49860471,,,DANSY_09252,IPR001841|IPR027952,,IPR001841|IPR027952,Pre-existing,False
9253,TP53INP2--ZNF547,ENSG00000078804,ENSG00000152433,Q8IXH6,Q8IVP9,20,19,34709236,57371782,,,DANSY_09253,,IPR001909|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087,IPR001909|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087,Pre-existing,False
9254,MID1IP1--GRIP2,ENSG00000165175,ENSG00000144596,Q9NPA3,Q9C0E4,X,3,38804683,14503566,,,DANSY_09254,,IPR001478,IPR001478,Pre-existing,False
9255,KDM4F--ELOVL2,ENSG00000255855,ENSG00000197977,A0A1W2PPD8,Q9NXB9,11,6,95049422,10989703,,,DANSY_09255,IPR003349|IPR003347,,IPR003349|IPR003347,Pre-existing,False
9256,ELF2--GRB10,ENSG00000109381,ENSG00000106070,Q15723,Q13322,4,7,139176967,50618071,,,DANSY_09256,,IPR001849|IPR015042|IPR000980,IPR001849|IPR015042|IPR000980,Pre-existing,False
9257,DENND2C--PPP4R3B,ENSG00000175984,ENSG00000275052,Q68D51,Q5MIZ7,1,2,114618386,55558775,,,DANSY_09257,,,,No Annotation,False
9258,CACHD1--ASPA,ENSG00000158966,ENSG00000108381,Q5VU97,P45381,1,17,64675401,3483499,,,DANSY_09258,IPR002035,IPR007036,IPR002035|IPR007036,Novel,True
9259,GAB3--ZNF644,ENSG00000160219,ENSG00000122482,Q8WWW8,Q9H582,X,1,154697132,90982310,,,DANSY_09259,IPR001849,IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087,IPR001849|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087,Novel,True
9260,ZNF280A--TRPS1,ENSG00000169548,ENSG00000104447,P59817,Q9UHF7,22,8,22520089,115587001,,,DANSY_09260,,IPR000679|IPR013087|IPR013087,IPR000679|IPR013087|IPR013087,Pre-existing,False
9261,SEMA3C--CLEC4C,ENSG00000075223,ENSG00000198178,Q99985,Q8WTT0,7,12,80916679,7747318,,,DANSY_09261,,IPR001304,IPR001304,Pre-existing,False
9262,USP39--IARS1,ENSG00000168883,ENSG00000196305,Q53GS9,P41252,2,9,85623646,92265480,,,DANSY_09262,,IPR013155|IPR057033|IPR057033,IPR013155|IPR057033|IPR057033,Pre-existing,False
9263,MTNAP1--TAS2R5,ENSG00000141219,ENSG00000127366,Q9BSJ5,Q9NYW4,17,7,73232433,141790217,,,DANSY_09263,,,,No Annotation,False
9264,OR10AC1--APBA3,ENSG00000176510,ENSG00000011132,Q8NH08,O96018,7,19,143509256,3754019,,,DANSY_09264,IPR017452,IPR001478|IPR001478,IPR017452|IPR001478|IPR001478,Novel,True
9265,LDLR--SNTA1,ENSG00000130164,ENSG00000101400,P01130,Q13424,19,20,11106565,33417719,,,DANSY_09265,,IPR041428|IPR001849|IPR055108,IPR041428|IPR001849|IPR055108,Pre-existing,False
9266,TUBB8B--PCDHB16,ENSG00000173213,ENSG00000272674,A6NNZ2,Q9NRJ7,18,5,48940,141182387,,,DANSY_09266,,IPR002126|IPR002126|IPR002126|IPR002126|IPR002126|IPR032455,IPR002126|IPR002126|IPR002126|IPR002126|IPR002126|IPR032455,Pre-existing,False
9267,BRWD1--COL28A1,ENSG00000185658,ENSG00000215018,Q9NSI6,Q2UY09,21,7,39250796,7517796,,,DANSY_09267,IPR057452,IPR002035|IPR002223,IPR057452|IPR002035|IPR002223,Novel,True
9268,TRAV2--OR6C6,ENSG00000211776,ENSG00000188324,A0A0B4J234,A6NF89,14,12,21712570,55296319,,,DANSY_09268,IPR007110,IPR017452,IPR007110|IPR017452,Novel,True
9269,PARM1--KCNJ9,ENSG00000169116,ENSG00000162728,Q6UWI2,Q92806,4,1,75012425,160081538,,,DANSY_09269,,IPR040445|IPR041647,IPR040445|IPR041647,Pre-existing,False
9270,SAT1--RAB26,ENSG00000130066,ENSG00000167964,P21673,Q9ULW5,X,16,23783800,2153319,,,DANSY_09270,,,,No Annotation,False
9271,LCE4A--PRRT3,ENSG00000187170,ENSG00000163704,Q5TA78,Q5FWE3,1,3,152709055,9945542,,,DANSY_09271,,IPR059081,IPR059081,Pre-existing,False
9272,ZNF470--CTAGE15,ENSG00000197016,ENSG00000271079,Q6ECI4,A4D2H0,19,7,56576713,143571801,,,DANSY_09272,IPR001909|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087,,IPR001909|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087,Pre-existing,False
9273,FNDC1--LGALS16,ENSG00000164694,ENSG00000249861,Q4ZHG4,A8MUM7,6,19,159238554,39655913,,,DANSY_09273,IPR003961|IPR003961|IPR003961|IPR003961,IPR001079,IPR003961|IPR003961|IPR003961|IPR003961|IPR001079,Novel,True
9274,LGMN--YOD1,ENSG00000100600,ENSG00000180667,Q99538,Q5VVQ6,14,1,92706483,207050688,,,DANSY_09274,,IPR048857|IPR003323|IPR013087,IPR048857|IPR003323|IPR013087,Pre-existing,False
9275,PRCD--LYPLAL1,ENSG00000214140,ENSG00000143353,Q00LT1,Q5VWZ2,17,1,76540044,219179147,,,DANSY_09275,,,,No Annotation,False
9276,EID1--TMEM184A,ENSG00000255302,ENSG00000164855,Q9Y6B2,Q6ZMB5,15,7,48878134,1556114,,,DANSY_09276,,,,No Annotation,False
9277,DRC7--MAST4,ENSG00000159625,ENSG00000069020,Q8IY82,O15021,16,5,57698850,67152637,,,DANSY_09277,,IPR001478,IPR001478,Pre-existing,False
9278,COL13A1--DAAM1,ENSG00000197467,ENSG00000100592,Q5TAT6,Q9Y4D1,10,14,69932560,59330501,,,DANSY_09278,,IPR014767,IPR014767,Pre-existing,False
9279,MAN2A1--ADAT1,ENSG00000112893,ENSG00000065457,Q16706,Q9BUB4,5,16,109866846,75617142,,,DANSY_09279,IPR000602|IPR015341|IPR048534|IPR011682,,IPR000602|IPR015341|IPR048534|IPR011682,Pre-existing,False
9280,PSMC3IP--ENTPD4,ENSG00000131470,ENSG00000197217,Q9P2W1,Q9Y227,17,8,42577461,23442007,,,DANSY_09280,,,,No Annotation,False
9281,RABL6--NOBOX,ENSG00000196642,ENSG00000106410,Q3YEC7,O60393,9,7,136829393,144400110,,,DANSY_09281,,,,No Annotation,False
9282,HCAR3--CD1D,ENSG00000255398,ENSG00000158473,P49019,P15813,12,1,122714756,158182032,,,DANSY_09282,IPR017452,IPR003597,IPR017452|IPR003597,Novel,True
9283,DAG1--EAF1,ENSG00000173402,ENSG00000144597,Q14118,Q96JC9,3,3,49510419,15439109,,,DANSY_09283,,,,No Annotation,False
9284,GORASP2--GOPC,ENSG00000115806,ENSG00000047932,Q9H8Y8,Q9HD26,2,6,170961663,117602004,,,DANSY_09284,IPR024958,IPR001478,IPR024958|IPR001478,Novel,True
9285,JCAD--KRTAP4-7,ENSG00000165757,ENSG00000240871,Q9P266,Q9BYR0,10,17,30047532,41084150,,,DANSY_09285,,,,No Annotation,False
9286,GTPBP6--CD200R1,ENSG00000178605,ENSG00000163606,O43824,Q8TD46,X,3,304759,112931106,,,DANSY_09286,IPR025121|IPR032305|IPR006073,IPR007110,IPR025121|IPR032305|IPR006073|IPR007110,Novel,True
9287,TPCN2--MPZL1,ENSG00000162341,ENSG00000197965,Q8NHX9,O95297,11,1,69085210,167776064,,,DANSY_09287,IPR005821,,IPR005821,Pre-existing,False
9288,UGT2B17--PPIAL4H,ENSG00000197888,ENSG00000270339,O75795,A0A075B767,4,1,68537173,146344006,,,DANSY_09288,,IPR002130,IPR002130,Pre-existing,False
9289,NEU2--KANK1,ENSG00000115488,ENSG00000107104,Q9Y3R4,Q14678,2,9,233032672,742205,,,DANSY_09289,,,,No Annotation,False
9290,HECW2--DNASE2B,ENSG00000138411,ENSG00000137976,Q9P2P5,Q8WZ79,2,1,196306488,84412349,,,DANSY_09290,IPR032348|IPR000008|IPR001202,,IPR032348|IPR000008|IPR001202,Pre-existing,False
9291,ARFGAP3--SNX1,ENSG00000242247,ENSG00000028528,Q9NP61,Q13596,22,15,42857114,64118788,,,DANSY_09291,,IPR001683|IPR015404,IPR001683|IPR015404,Pre-existing,False
9292,IQCG--PLCG1,ENSG00000114473,ENSG00000124181,Q9H095,P19174,3,20,197959845,41162642,,,DANSY_09292,,IPR000909|IPR000980|IPR000980|IPR001452|IPR001849|IPR001711|IPR000008,IPR000909|IPR000980|IPR000980|IPR001452|IPR001849|IPR001711|IPR000008,Pre-existing,False
9293,GK2--UGT1A4,ENSG00000196475,ENSG00000244474,Q14410,P22310,4,2,79406361,233768220,,,DANSY_09293,IPR018484|IPR018485,,IPR018484|IPR018485,Pre-existing,False
9294,S100B--TNFAIP8L2,ENSG00000160307,ENSG00000163154,P04271,Q6P589,21,1,46598604,151158666,,,DANSY_09294,IPR013787|IPR002048,,IPR013787|IPR002048,Pre-existing,False
9295,MAN1A1--ANKRD12,ENSG00000111885,ENSG00000101745,P33908,Q6UB98,6,18,119301988,9208657,,,DANSY_09295,,,,No Annotation,False
9296,VSIG10L2--TMEM238L,ENSG00000283703,ENSG00000263429,P0DP72,A6NJY4,11,17,125946044,10794908,,,DANSY_09296,,,,No Annotation,False
9297,AUH--CCDC126,ENSG00000148090,ENSG00000169193,Q13825,Q96EE4,9,7,91296021,23642931,,,DANSY_09297,,,,No Annotation,False
9298,ARMH2--TGFBR2,ENSG00000260286,ENSG00000163513,H3BNL8,P37173,6,3,24797335,30650270,,,DANSY_09298,,IPR000719,IPR000719,Pre-existing,False
9299,PNPT1--SLC19A3,ENSG00000138035,ENSG00000135917,Q8TCS8,Q9BZV2,2,2,55660157,227698736,,,DANSY_09299,IPR001247|IPR015847|IPR015848,,IPR001247|IPR015847|IPR015848,Pre-existing,False
9300,SCP2D1--TSFM,ENSG00000132631,ENSG00000123297,Q9UJQ7,P43897,20,12,18813783,57783110,,,DANSY_09300,IPR003033,IPR014039,IPR003033|IPR014039,Novel,True
9301,ACTRT1--FKBP11,ENSG00000123165,ENSG00000134285,Q8TDG2,Q9NYL4,X,12,128050962,48925046,,,DANSY_09301,,IPR001179,IPR001179,Pre-existing,False
9302,GAMT--AP2A1,ENSG00000130005,ENSG00000196961,Q14353,O95782,19,19,1401296,49805453,,,DANSY_09302,,IPR003164,IPR003164,Pre-existing,False
9303,THSD1--IL7R,ENSG00000136114,ENSG00000168685,Q9NS62,P16871,13,5,52402543,35867306,,,DANSY_09303,,IPR003961,IPR003961,Pre-existing,False
9304,FCGBP--ATP9B,ENSG00000275395,ENSG00000166377,Q9Y6R7,O43861,19,18,39902243,79342268,,,DANSY_09304,IPR035234|IPR003645|IPR001846|IPR014853|IPR000742|IPR001007|IPR001846|IPR014853|IPR002919|IPR001007|IPR001846|IPR014853,IPR032630,IPR035234|IPR003645|IPR001846|IPR014853|IPR000742|IPR001007|IPR001846|IPR014853|IPR002919|IPR001007|IPR001846|IPR014853|IPR032630,Novel,True
9305,CBLIF--DDX46,ENSG00000134812,ENSG00000145833,P27352,Q7L014,11,5,59845375,134795988,,,DANSY_09305,,IPR001650|IPR056149,IPR001650|IPR056149,Pre-existing,False
9306,NBPF9--WDR49,ENSG00000269713,ENSG00000174776,P0DPF3,Q8IV35,1,3,149090753,167532879,,,DANSY_09306,,,,No Annotation,False
9307,PLEKHF2--C22orf42,ENSG00000175895,ENSG00000205856,Q9H8W4,Q6IC83,8,22,95154031,32149753,,,DANSY_09307,IPR001849|IPR000306,,IPR001849|IPR000306,Pre-existing,False
9308,ADAD2--VPS8,ENSG00000140955,ENSG00000156931,Q8NCV1,Q8N3P4,16,3,84195069,184913519,,,DANSY_09308,IPR014720,IPR001841,IPR014720|IPR001841,Novel,True
9309,NCR3--MAPKBP1,ENSG00000204475,ENSG00000137802,O14931,O60336,6,15,31588895,41811178,,,DANSY_09309,IPR003599,IPR056162|IPR056364,IPR003599|IPR056162|IPR056364,Novel,True
9310,CCL28--PCNX1,ENSG00000151882,ENSG00000100731,Q9NRJ3,Q96RV3,5,14,43379193,71046964,,,DANSY_09310,IPR001811,IPR007735,IPR001811|IPR007735,Novel,True
9311,RPIA--IGHV3-49,ENSG00000153574,ENSG00000211965,P49247,A0A0A0MS15,2,14,88737977,106556936,,,DANSY_09311,,IPR007110,IPR007110,Pre-existing,False
9312,SPIB--SBK3,ENSG00000269404,ENSG00000231274,Q01892,P0C264,19,19,50423605,55540656,,,DANSY_09312,,,,No Annotation,False
9313,HJURP--POC1B,ENSG00000123485,ENSG00000139323,Q8NCD3,Q8TC44,2,12,233840609,89491936,,,DANSY_09313,IPR021052|IPR022102|IPR022102,,IPR021052|IPR022102|IPR022102,Pre-existing,False
9314,RGL2--SLC30A9,ENSG00000237441,ENSG00000014824,O15211,Q6PML9,6,4,33295319,41990530,,,DANSY_09314,IPR000651,IPR058533,IPR000651|IPR058533,Novel,True
9315,GRXCR1--CEACAM4,ENSG00000215203,ENSG00000105352,A8MXD5,O75871,4,19,43030361,41626900,,,DANSY_09315,IPR002109,IPR007110,IPR002109|IPR007110,Novel,True
9316,TTC9C--ELANE,ENSG00000162222,ENSG00000197561,Q8N5M4,P08246,11,19,62735382,852303,,,DANSY_09316,,IPR001254,IPR001254,Pre-existing,False
9317,CAPN2--RIMBP3,ENSG00000162909,ENSG00000275793,P17655,Q9UFD9,1,22,223746997,18605815,,,DANSY_09317,,IPR057950|IPR001452|IPR003961|IPR057884|IPR001452|IPR001452,IPR057950|IPR001452|IPR003961|IPR057884|IPR001452|IPR001452,Pre-existing,False
9318,AP1M1--TAF11L3,ENSG00000072958,ENSG00000284439,Q9BXS5,A0A1W2PRV1,19,5,16228770,17518367,,,DANSY_09318,IPR022775,IPR006809,IPR022775|IPR006809,Novel,True
9319,PCDHB4--ETFB,ENSG00000081818,ENSG00000105379,Q9Y5E5,P38117,5,19,141121818,51350329,,,DANSY_09319,IPR002126|IPR002126|IPR002126|IPR002126|IPR002126|IPR032455,,IPR002126|IPR002126|IPR002126|IPR002126|IPR002126|IPR032455,Pre-existing,False
9320,PHKA1--RBPMS2,ENSG00000067177,ENSG00000166831,P46020,Q6ZRY4,X,15,72666151,64741173,,,DANSY_09320,,,,No Annotation,False
9321,ENOSF1--C5orf47,ENSG00000132199,ENSG00000185056,Q7L5Y1,Q569G3,18,5,670318,174001196,,,DANSY_09321,IPR013341|IPR013342|IPR029065,,IPR013341|IPR013342|IPR029065,Pre-existing,False
9322,AKAP4--SHC2,ENSG00000147081,ENSG00000129946,Q5JQC9,P98077,X,19,50200863,438718,,,DANSY_09322,,IPR000980,IPR000980,Pre-existing,False
9323,NFYA--UGT8,ENSG00000001167,ENSG00000174607,P23511,Q16880,6,4,41072974,114598807,,,DANSY_09323,,,,No Annotation,False
9324,BCLAF3--DISP3,ENSG00000173681,ENSG00000204624,A2AJT9,Q9P2K9,X,1,19955391,11530907,,,DANSY_09324,,IPR004869,IPR004869,Pre-existing,False
9325,RAB40C--MAPKAPK2,ENSG00000197562,ENSG00000162889,Q96S21,P49137,16,1,590066,206731640,,,DANSY_09325,,,,No Annotation,False
9326,CRB1--TRBV24-1,ENSG00000134376,ENSG00000211750,P82279,A0A075B6N3,1,7,197344281,142656701,,,DANSY_09326,IPR000742|IPR000742|IPR000742|IPR000742|IPR000742|IPR000742,IPR007110,IPR000742|IPR000742|IPR000742|IPR000742|IPR000742|IPR000742|IPR007110,Novel,True
9327,TRAF3IP2--CCNT1,ENSG00000056972,ENSG00000129315,O43734,O60563,6,12,111562965,48699778,,,DANSY_09327,,IPR047320,IPR047320,Pre-existing,False
9328,NEFL--CATSPERZ,ENSG00000277586,ENSG00000219435,P07196,Q9NTU4,8,11,24954181,64303773,,,DANSY_09328,IPR006821,,IPR006821,Pre-existing,False
9329,MFSD3--ZNF395,ENSG00000167700,ENSG00000186918,Q96ES6,Q9H8N7,8,8,144509070,28349125,,,DANSY_09329,,,,No Annotation,False
9330,EPG5--PAICS,ENSG00000152223,ENSG00000128050,Q9HCE0,P22234,18,4,45951102,56450619,,,DANSY_09330,,IPR000031,IPR000031,Pre-existing,False
9331,ZNF526--MED18,ENSG00000167625,ENSG00000130772,Q8TF50,Q9BUE0,19,1,42224387,28330597,,,DANSY_09331,IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087,,IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087,Pre-existing,False
9332,IFNLR1--STAT2,ENSG00000185436,ENSG00000170581,Q8IU57,P52630,1,12,24159052,56346442,,,DANSY_09332,IPR003961,IPR022756,IPR003961|IPR022756,Novel,True
9333,RPL32--CLDN16,ENSG00000144713,ENSG00000113946,P62910,Q9Y5I7,3,3,12840142,190404762,,,DANSY_09333,,,,No Annotation,False
9334,PUM1--HECA,ENSG00000134644,ENSG00000112406,Q14671,Q9UBI9,1,6,30967167,139135080,,,DANSY_09334,,IPR054537|IPR031947,IPR054537|IPR031947,Pre-existing,False
9335,ANKRD34B--CPEB2,ENSG00000189127,ENSG00000137449,A5PLL1,Q7Z5Q1,5,4,80566689,15007305,,,DANSY_09335,,,,No Annotation,False
9336,C8orf88--NTNG2,ENSG00000253250,ENSG00000196358,P0DMB2,Q96CW9,8,9,90958471,132240910,,,DANSY_09336,,IPR002049|IPR000742,IPR002049|IPR000742,Pre-existing,False
9337,ITGB8--IMP3,ENSG00000105855,ENSG00000177971,P26012,Q9NV31,7,15,20409875,75639093,,,DANSY_09337,IPR002369|IPR057073|IPR000742,IPR001912|IPR002942,IPR002369|IPR057073|IPR000742|IPR001912|IPR002942,Novel,True
9338,TAGAP--SLC25A52,ENSG00000164691,ENSG00000141437,Q8N103,Q3SY17,6,18,159040723,31759584,,,DANSY_09338,,,,No Annotation,False
